close,neutral,open,closeMid,openMid
0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.2222222222222222
0.18181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182
0.3,0.1,0.5,0.0,0.1
0.2727272727272727,0.09090909090909091,0.45454545454545453,0.0,0.18181818181818182
0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.3333333333333333
0.1,0.3,0.4,0.1,0.1
0.1111111111111111,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0
0.0,0.125,0.5,0.25,0.125
0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0,0.2727272727272727
0.2727272727272727,0.18181818181818182,0.2727272727272727,0.0,0.2727272727272727
0.5555555555555556,0.3333333333333333,0.1111111111111111,0.0,0.0
0.18181818181818182,0.2727272727272727,0.5454545454545454,0.0,0.0
0.0,0.09090909090909091,0.6363636363636364,0.0,0.2727272727272727
0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.18181818181818182
0.0,0.2,0.7,0.0,0.1
0.2,0.4,0.3,0.0,0.1
0.09090909090909091,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.18181818181818182
0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.09090909090909091
0.0,0.3333333333333333,0.4444444444444444,0.0,0.2222222222222222
0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222
0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222
