song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DanksagungAnDenBach,B4,35,2.5,1,0.25,vaɾ,0,0
DanksagungAnDenBach,C5,36,2.75,0,0.25,ɛs,0,0
DanksagungAnDenBach,D5,37,1.0,2,0.5,'al,0,1
DanksagungAnDenBach,B4,35,1.5,1,0.25,zo,2,0
DanksagungAnDenBach,G4,33,1.75,0,0.25,gə,1,0
DanksagungAnDenBach,F#4,32,2.0,2,0.75,'ma:Int,0,1
DanksagungAnDenBach,F#4,32,2.75,0,0.25,ma:In,0,0
DanksagungAnDenBach,G4,33,1.0,2,0.25,'ɾa:ʊ,0,1
DanksagungAnDenBach,B4,35,1.25,0,0.25,'ɾa:ʊ,0,1
DanksagungAnDenBach,D5,37,1.5,1,0.25,ʃən,1,0
DanksagungAnDenBach,E5,38,1.75,0,0.25,dəʁ,1,0
DanksagungAnDenBach,D5,37,2.0,2,0.75,'fɾɔ:Ynt,0,1
DanksagungAnDenBach,D5,37,2.75,0,0.25,da:In,0,0
DanksagungAnDenBach,E5,38,1.0,2,0.25,'zI,2,1
DanksagungAnDenBach,D5,37,1.25,0,0.25,'zI,2,1
DanksagungAnDenBach,B4,35,1.5,1,0.25,ŋən,1,0
DanksagungAnDenBach,G4,33,1.75,0,0.25,da:In,0,0
DanksagungAnDenBach,G4,33,2.0,2,0.5,'klI,2,1
DanksagungAnDenBach,F#4,32,2.5,1,0.5,ŋən,1,0
DanksagungAnDenBach,B4,35,1.5,1,0.25,vaɾ,0,0
DanksagungAnDenBach,C5,36,1.75,0,0.25,ɛs,0,0
DanksagungAnDenBach,D5,37,2.0,2,0.5,'al,0,1
DanksagungAnDenBach,F#5,39,2.5,1,0.25,zo,2,0
DanksagungAnDenBach,F#5,39,2.75,0,0.25,gə,1,0
DanksagungAnDenBach,G5,40,1.0,2,0.5,’ma:Int,0,0
DanksagungAnDenBach,B4,35,1.5,1,0.25,vaɾ,0,0
DanksagungAnDenBach,C5,36,1.75,0,0.25,ɛs,0,0
DanksagungAnDenBach,D5,37,2.0,2,0.5,'al,0,1
DanksagungAnDenBach,F#4,32,2.5,1,0.25,zo,2,0
DanksagungAnDenBach,F#4,32,2.75,0,0.25,gə,1,0
DanksagungAnDenBach,G4,33,1.0,2,0.5,’ma:Int,0,0
DanksagungAnDenBach,D5,37,2.5,1,0.5,tsuɾ,2,0
DanksagungAnDenBach,C#5,36,1.0,2,0.25,'mY,none,1
DanksagungAnDenBach,G5,40,1.25,0,0.25,'mY,none,1
DanksagungAnDenBach,C#5,36,1.5,1,0.25,lə,1,0
DanksagungAnDenBach,C#5,36,1.75,0,0.25,ɾIn,2,0
